,class_text,list_class_url,list_text,list_title_text,list_title_url
0,心灵鸡汤,http://www.lovehhy.net/Yulu/Detail/XLJT/,“ 生活中难免有不如意的时候 路还很长 你不要绝望 打起精神来重新出发 温暖的事以后一定会发生的 ” ?,生活中难免有不如意的时候,http://www.lovehhy.net/Yulu/View/170956
1,治愈系,http://www.lovehhy.net/Yulu/Detail/ZYX/,"“ 我喜欢能带给我正面影响的人，正面的影响不代表对方有多棒，但我希望对方可以肯定我，看得到我身上发光的地方，我也愿意回馈对方同等分量的重视。”
?",但我希望对方可以肯定我,http://www.lovehhy.net/Yulu/View/170955
2,时尚经典语录,http://www.lovehhy.net/Yulu/Detail/SSJDYL/,"记得所有难堪和不甘心的时刻，然后要继续往前走。
一直一直往前走，就不会被身后的泥泞绊住脚了。
要去有光的地方。
要成为自己的光。
????—— 一罐寡言 ????",然后要继续往前走,http://www.lovehhy.net/Yulu/View/170954
3,触动心灵的句子,http://www.lovehhy.net/Yulu/Detail/XLJZ/,如果有一天我遇见相似的灵魂 那它肯定是步履艰难 不被理解 喜黑怕光的如果可以的话 让我触摸一下吧 它也一样孤独得太久了——网易云音乐热评墙《遇见相似的灵魂》 ????,那它肯定是步履艰难,http://www.lovehhy.net/Yulu/View/170953
4,经典古诗词,http://www.lovehhy.net/Yulu/Detail/JDGSC/,"北冥有鱼，其名为鲲，鲲之大，不知其具几千里也。
南生海棠，其名为椿，椿存梦，梦执鲲之翼，天涯海角。
中有人，其名为湫，湫恋椿，愿以身之血肉成其二人之眷属。
世间比翼不易，且行且珍惜。
三千年为椿，三千年为湫，永不相见，以鲲为见，化为风雨，椿还鲲命，谁还湫情？ ?",不知其具几千里也,http://www.lovehhy.net/Yulu/View/170952
5,唯美文字,http://www.lovehhy.net/Yulu/Detail/WMWZ/,“ 千万不要和异性聊天 没有人会对你无缘无故的好 一旦日久生情 也许你根本就无法控制自己的感情 偶尔聊天是朋友 天天聊就是暧昧 大家都是成年人了 别假装不知道对方想干什么 ” ?,千万不要和异性聊天,http://www.lovehhy.net/Yulu/View/170951
6,一句话心情签名,http://www.lovehhy.net/Yulu/Detail/YJHXQQM/,“??如果给你一张门票 最想去看谁的演唱会????????????????????????????????????????????????????????????????????” ?,如果给你一张门票,http://www.lovehhy.net/Yulu/View/170950
7,情感心理系,http://www.lovehhy.net/Yulu/Detail/QGXLX/,你知道 这个世界上没有什么品质是真正可贵的除了两样事：一是好好对待自己 二是少给别人添麻烦能做好这两点 对我来说 就算得上是顶优秀的人了 ????,一是好好对待自己,http://www.lovehhy.net/Yulu/View/170949
8,唯美文字,http://www.lovehhy.net/Yulu/Detail/WMWZ/,男人对女人动嘴，那叫哄！动钱，那叫宠！动心，才叫懂！你若一动不动，我要你何用？把我当杯子就好好端着，把我变成玻璃碴子你再碰我下试试？扎死你...... ?,男人对女人动嘴,http://www.lovehhy.net/Yulu/View/170948
9,经典古诗词,http://www.lovehhy.net/Yulu/Detail/JDGSC/,"缅想咸阳事可嗟，楚歌哀怨思无涯。
八千子弟归何处？万里鸿沟属汉家。
弓断阵前争日月，血流垓下定龙蛇。
拔山力尽乌江水，今古悠悠空浪花。
———《垓下怀古》唐?栖一 ???",缅想咸阳事可嗟,http://www.lovehhy.net/Yulu/View/170947
10,执笔写青春,http://www.lovehhy.net/Yulu/Detail/ZBXQC/,"一整年讨债的都进进出出?每天都像是年末还款的日子，酱油店、油店、蔬菜店、沙丁鱼店、干货店、木炭店、米店、房东等，都火急火燎地催促着。
种吉在巷口炸着牛蒡、莲藕、山芋、鸭儿芹、魔芋、红姜；干鱿鱼、沙丁鱼等，靠着“一钱天妇罗”营生。
《夫妇善哉》织田作之助 著 ?",一整年讨债的都进进出出,http://www.lovehhy.net/Yulu/View/170946
11,唯美文字,http://www.lovehhy.net/Yulu/Detail/WMWZ/,"学会在顺境中清醒，学会在逆境中坚守，无论遇到什么人，经历什么事，不忘初心，方得始终。
——《苏东坡：最是人间真情味》 ? ????",学会在顺境中清醒,http://www.lovehhy.net/Yulu/View/170945
12,执笔写青春,http://www.lovehhy.net/Yulu/Detail/ZBXQC/,"原本以为自己已经放下了；原本以为；自己已经不在乎；原本以为，自己的伤已经愈合。
可是为什么看着你和她从街边走过，心里还会不可抑制地疼痛？原谅我还没有忘记你，原谅我还没有走出来。
曾经这么爱的这座城，直到现在才明白，我竟卑微的活在这座城市，偷偷爱着你。
?",原本以为自己已经放下了,http://www.lovehhy.net/Yulu/View/170944
13,唯美文字,http://www.lovehhy.net/Yulu/Detail/WMWZ/,“ 年纪大了 除了真诚和温柔 没有东西可以让我缴械投降了 ” ????,除了真诚和温柔,http://www.lovehhy.net/Yulu/View/170943
14,心灵鸡汤,http://www.lovehhy.net/Yulu/Detail/XLJT/,"长大后才知道，“尽量不给别人添麻烦，别人最好也别麻烦我。”
这句话不是冷漠，而是成熟。
—— 王自健 ? ????",长大后才知道,http://www.lovehhy.net/Yulu/View/170942
15,唯美文字,http://www.lovehhy.net/Yulu/Detail/WMWZ/,"唯一可以改变的人，往往是你自己。
不哀，不怨，心坦然。
生活，有苦乐；人生，有起落。
学会挥袖从容，暖笑无殇。
快乐，不是拥有的多，而是计较的少；乐观，不是没烦恼，而是懂得知足；人生无完美，曲折亦风景，想通，就是完美。
?",唯一可以改变的人,http://www.lovehhy.net/Yulu/View/170941
16,执笔写青春,http://www.lovehhy.net/Yulu/Detail/ZBXQC/,"要想做人，就要有好品德；要想做事，就要有好本事；要想成大事，就要有好谋划；要想取信于人，就要有好态度；要想取信天下，就要有好心气；要想勤耕不辍，就要有好身体。
凡事要沉稳，要避免草率决策；做事要恒心，要勇于承担后果。
??? ????",就要有好品德,http://www.lovehhy.net/Yulu/View/170940
17,触动心灵的句子,http://www.lovehhy.net/Yulu/Detail/XLJZ/,那时的我们在一起 永远有着说不完的话题 也不知道是哪里出了错灯突然灭了 喜欢你旳这些日子就像一本病历 祝我们再遇见 都能比现在过得更好 余生太长 你太难忘——网易云音乐热评《绅士》 ????,那时的我们在一起,http://www.lovehhy.net/Yulu/View/170939
18,走过青春的文字,http://www.lovehhy.net/Yulu/Detail/ZGQC/,"爱有两个院子，一个院子是天堂，一个院子是凡间。
最好的爱就是坐在凡间的院子里，遥望天堂的院子。
没有天堂的院子，爱就会没有了希望；没有了凡间的院子，爱就会失去了根基。
?",爱有两个院子,http://www.lovehhy.net/Yulu/View/170938
